positive_rank,score_gap_top_minus_positive,query_short,positive_short,predicted_top_short
29,3.6640625,Người sử dụng lao động có trách nhiệm gì khi người lao động yêu cầu trả lương ngừng việc không do lỗi của mình?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v",Điều 438. Nghĩa vụ của tổ chức đại diện người sử dụng lao động trong việc bảo vệ quyền lợi người sử dụng lao động. 1. Tổ chức đại diện người sử dụng lao động có nghĩa vụ bảo vệ quyền lợi hợp pháp của người sử dụng lao động trong quá trình thực hiện điều kiện lao động. 2. Tổ chức đại diện người sử dụng lao động có trách nhiệm giám sát việc thực hiện
24,14.374641418457031,Người sử dụng lao động có trách nhiệm gì trong việc đảm bảo an toàn vệ sinh lao động?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.",Người sử dụng lao động phải đảm bảo an toàn lao động và vệ sinh lao động trong suốt quá trình làm việc.
22,0.9296875,Người lao động có quyền nghỉ không hưởng lương để chăm sóc người thân trong bao nhiêu ngày?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Tôi làm việc tại một công ty TNHH. Công ty tôi có 4 lao động ở TP. Hà Nội, thuộc vùng áp dụng Chỉ thị 16/CT-TTg nên không thể đến công ty làm việc trong các tháng 8, 9, 10/2021.Tôi chuẩn bị giấy tờ làm hồ sơ đề nghị giải quyết hỗ trợ cho người lao động trong khoảng thời gian trên gồm: Danh sách người lao động có xác nhận tham gia BHXH đến thời điểm"
21,5.59375,"Người sử dụng lao động phải tổ chức đào tạo, bồi dưỡng kỹ năng nghề cho người lao động bao nhiêu lần trong năm?","Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 60. Trách nhiệm của người sử dụng lao động về đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề 1. Người sử dụng lao động xây dựng kế hoạch hằng năm và dành kinh phí cho việc đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề, phát triển kỹ năng nghề cho người lao động đang làm việc cho mình; đào tạo cho người lao động trước khi chuyển làm "
20,13.69140625,Luật này quy định về phạm vi điều chỉnh nào?,"Theo Điều 1 của Dự thảo Luật Công nghiệp trọng điểm, Luật này quy định về các hoạt động phát triển các ngành công nghiệp trọng điểm.","Có, dựa vào Điều 1 của Luật Bảo hiểm xã hội, Luật này có bao gồm nội dung mà tổ chức đại diện người sử dụng lao động đang tìm kiếm. Điều 1 nêu rõ ""Luật này quy định... quyền và trách nhiệm của... tổ chức đại diện người sử dụng lao động"". Do đó, các quy định về quyền và trách nhiệm của tổ chức đại diện người sử dụng lao động trong lĩnh vực bảo hiểm "
19,1.0703125,Người sử dụng lao động phải thông báo trước bao nhiêu ngày khi chấm dứt hợp đồng lao động với người lao động không xác định thời hạn?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 2. Đối tượng áp dụng 1. Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động. 2. Người sử dụng lao động. 3. Người lao động nước ngoài làm việc tại Việt Nam. 4. Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động."
17,24.515625,Người lao động có được trả lương theo sản phẩm không?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v","Người lao động được trả lương theo thời gian, sản phẩm hoặc khoán. Tiền lương được trả bằng tiền đồng Việt Nam, nếu được trả bằng ngoại tệ thì phải tuân thủ quy định của pháp luật về quản lý ngoại hối."
15,6.546875,Người sử dụng lao động có trách nhiệm đóng bảo hiểm xã hội cho người lao động không?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Theo Khoản 1 Điều 26 Dự thảo Luật Bảo hiểm xã hội về hồ sơ tham gia bảo hiểm xã hội bắt buộc, doanh nghiệp và từng người lao động cần chuẩn bị các hồ sơ sau:

*   **Đối với doanh nghiệp (người sử dụng lao động):** Cần chuẩn bị ""Tờ khai tham gia bảo hiểm xã hội của người sử dụng lao động kèm theo danh sách người lao động tham gia bảo hiểm xã hội"". T"
10,13.6279296875,Xác định thời điểm hưởng BHYT theo quy định mới,"Mẹ tôi có BHYT tại Bệnh viện 108 - Hà Nội. Vừa qua, mẹ tôi bị ngã gãy chân, gia đình đã đưa đến Bệnh viện 108 để mổ. Tôi muốn biết trường hợp của mẹ tôi sẽ được quỹ BHYT thanh toán như thế nào theo Luật BHYT sửa đổi được áp dụng từ ngày 1/1/2015?Bảo hiểm xã hội Việt Nam trả lời vấn đề này như sau:Vì không biết rõ mẹ của ông Mão thuộc nhóm BHYT và c","Theo Khoản 1 Điều 76 Luật Bảo hiểm xã hội số 58/2014/QH13, cụm từ ""tháng liền kề sau tháng"" có ý nghĩa quan trọng trong việc xác định chính xác thời điểm bắt đầu hưởng lương hưu, đảm bảo rằng người lao động sẽ không bắt đầu nhận lương hưu ngay trong tháng mà họ đủ điều kiện, mà phải chờ đến tháng kế tiếp. Điều này có thể liên quan đến quy trình hàn"
10,8.97607421875,Người lao động có thể yêu cầu trả lương bằng tiền mặt không?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v","Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác."
9,11.96875,"Tôi và vợ tôi đang có tranh chấp về giao dịch tài sản, liệu tôi có thể ký hợp đồng mà không cần sự đồng ý của vợ không?","Điều 24. Căn cứ xác lập đại diện giữa vợ và chồng 1. Việc đại diện giữa vợ và chồng trong xác lập, thực hiện, chấm dứt giao dịch được xác định theo quy định của Luật này, Bộ luật dân sự và các luật khác có liên quan. 2. Vợ, chồng có thể ủy quyền cho nhau xác lập, thực hiện và chấm dứt giao dịch mà theo quy định của Luật này, Bộ luật dân sự và các l","Điều 182. Chiếm hữu liên tục 1. Chiếm hữu liên tục là việc chiếm hữu được thực hiện trong một khoảng thời gian mà không có tranh chấp về quyền đối với tài sản đó hoặc có tranh chấp nhưng chưa được giải quyết bằng một bản án, quyết định có hiệu lực pháp luật của Tòa án hoặc cơ quan nhà nước có thẩm quyền khác, kể cả khi tài sản được giao cho người k"
9,9.787109375,"Tôi đang quản lý một tài sản của công ty, liệu tôi có quyền sở hữu tài sản này nếu hết thời hạn hợp đồng?","Điều 188. Quyền chiếm hữu của người được giao tài sản thông qua giao dịch dân sự 1. Khi chủ sở hữu giao tài sản cho người khác thông qua giao dịch dân sự mà nội dung không bao gồm việc chuyển quyền sở hữu thì người được giao tài sản phải thực hiện việc chiếm hữu tài sản đó phù hợp với mục đích, nội dung của giao dịch. 2. Người được giao tài sản có ","Điều 160. Nguyên tắc xác lập, thực hiện quyền sở hữu, quyền khác đối với tài sản 1. Quyền sở hữu, quyền khác đối với tài sản được xác lập, thực hiện trong trường hợp Bộ luật này, luật khác có liên quan quy định. Quyền khác đối với tài sản vẫn có hiệu lực trong trường hợp quyền sở hữu được chuyển giao, trừ trường hợp Bộ luật này, luật khác có liên q"
9,7.3984375,Người lao động có thể yêu cầu trả lương khi ngừng việc không do lỗi của mình không?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v",Điều 207. Tiền lương và các quyền lợi hợp pháp khác của người lao động trong thời gian đình công 1. Người lao động không tham gia đình công nhưng phải ngừng việc vì lý do đình công thì được trả lương ngừng việc theo quy định tại khoản 2 Điều 99 của Bộ luật này và các quyền lợi khác theo quy định của pháp luật về lao động. 2. Người lao động tham gia
9,7.1015625,Người lao động có quyền khiếu nại khi bị trả lương không đúng không?,"Chương VI của Bộ luật Lao động Việt Nam quy định về tiền lương. Nội dung chính bao gồm các quy định về nguyên tắc trả lương, hình thức trả lương, kỳ hạn trả lương, tiền lương làm thêm giờ, tiền lương làm việc vào ban đêm, tiền lương nghỉ lễ, Tết và ngày nghỉ có hưởng lương, tiền lương ngừng việc, tiền lương cho người lao động bị tạm đình chỉ công v",Người lao động có quyền yêu cầu người sử dụng lao động giải quyết các khiếu nại về quyền lợi hợp pháp của mình.
9,6.6494140625,Quy định về lựa chọn nhà thầu trong trường hợp chỉ định thầu,"Đơn vị chúng tôi là Trung tâm tư vấn và Kiểm định chất lượng công trình xây dựng nông nghiệp, là đơn vị sự nghiệp, tự chủ tài chính trực thuộc Sở Nông nghiệp và Phát triển nông thôn tỉnh Quảng Ninh. Vậy, chúng tôi có được chỉ định thầu các gói thầu tư vấn thiết kế, kiểm định chất lượng do Sở làm chủ đầu tư theo Luật Đấu thầu 43/2013/QH13 và Nghị đị","Tôi xin hỏi, các gói thầu mua sắm từ nguồn ngân sách nhà nước chi thường xuyên không thực hiện tự chủ (như sửa chữa trụ sở, dịch vụ công nghệ thông tin, mua sắm trang phục ngành,…) có giá trị trên 100 triệu đồng đến dưới 500 triệu đồng có được thực hiện theo hình thức chỉ định thầu không? Ngoài ra, mua sắm thường xuyên quy định tại Khoản 2, Điều 15"
9,4.8515625,Người sử dụng lao động có trách nhiệm đóng bảo hiểm y tế cho người lao động không?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Điều 2. Đối tượng áp dụng 1. Người lao động, người học nghề, người tập nghề và người làm việc không có quan hệ lao động. 2. Người sử dụng lao động. 3. Người lao động nước ngoài làm việc tại Việt Nam. 4. Cơ quan, tổ chức, cá nhân khác có liên quan trực tiếp đến quan hệ lao động."
9,2.8828125,Người sử dụng lao động phải đảm bảo thời gian làm việc không quá bao nhiêu giờ mỗi tuần?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Chương V của Bộ luật Lao động 2019 quy định về thời giờ làm việc, thời giờ nghỉ ngơi. Thời giờ làm việc bình thường không quá 8 giờ trong một ngày và không quá 48 giờ trong một tuần. Người lao động có thể làm thêm giờ khi được người sử dụng lao động yêu cầu và phải trả lương làm thêm giờ theo quy định. Tổng số giờ làm thêm không được vượt quá 200 g"
8,16.73046875,Luật Các tổ chức tín dụng (sửa đổi) này có hiệu lực thi hành từ ngày nào?,"Theo khoản 1 Điều 209 của Dự thảo Luật Các tổ chức tín dụng (sửa đổi), Luật này có hiệu lực thi hành từ ngày 01 tháng 7 năm 2024.","Theo Khoản 1 Điều 162 của Luật Các tổ chức tín dụng số 47/2010/QH12, Luật này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2011."
8,12.5361328125,"UBND huyện quyết định danh sách, kinh phí hỗ trợ","Tôi làm việc tại một công ty TNHH. Công ty tôi có 4 lao động ở TP. Hà Nội, thuộc vùng áp dụng Chỉ thị 16/CT-TTg nên không thể đến công ty làm việc trong các tháng 8, 9, 10/2021.Tôi chuẩn bị giấy tờ làm hồ sơ đề nghị giải quyết hỗ trợ cho người lao động trong khoảng thời gian trên gồm: Danh sách người lao động có xác nhận tham gia BHXH đến thời điểm","Mẹ và hai con nhỏ của tôi là F1, đi cách ly tập trung hồi tháng 6/2021. Gia đình đã làm thủ tục đề nghị hỗ trợ và nộp cho UBND xã từ tháng 8/2021, nhưng đến nay vẫn chưa nhận được tiền hỗ trợ. Tôi đã hỏi xã và được trả lời, do mẹ và con của tôi đi cách ly tập trung, được 'mạnh thường quân' hỗ trợ ăn rồi nên không được nhận tiền, chỉ những người các"
8,12.51318359375,Người lao động có quyền tham gia bảo hiểm xã hội không?,"Bộ Luật Lao Động Việt Nam 2019 quy định các tiêu chuẩn lao động, quyền và nghĩa vụ của người sử dụng lao động và người lao động, hợp đồng lao động, tiền lương, thời giờ làm việc, và an toàn vệ sinh lao động, cùng các khía cạnh khác.","Căn cứ theo Điều 18 Luật Bảo hiểm xã hội 2014 quy định về quyền của người lao động cụ thể như sau:

Quyền của người lao động
1. Được tham gia và hưởng các chế độ bảo hiểm xã hội theo quy định của Luật này.
2. Được cấp và quản lý sổ bảo hiểm xã hội.
3. Nhận lương hưu và trợ cấp bảo hiểm xã hội đầy đủ, kịp thời, theo một trong các hình thức chi trả s"
